celltype	ExpressionInThisCellType(TPM)	FoldEnrichmentOverNextBestCellType	geneID	geneType	geneStatus	GeneID_human_gencode21	GeneID_human	GeneName	GeneID_mouse	Identity	Confidence	geneID_expressionMatrixID	WGCNAModuleID
astrocyte	36.2531169975803	6.53970054114668	ENSMUSG00000020656.11	protein_coding	KNOWN	ENSG00000134317.15	ENSG00000134317	GRHL1	ENSMUSG00000020656	95	1	ENSG00000134317|GRHL1	ME0
astrocyte	549.28728721874	5.70360295684949	ENSMUSG00000020263.10	protein_coding	KNOWN	ENSG00000136044.9	ENSG00000136044	APPL2	ENSMUSG00000020263	92	1	ENSG00000136044|APPL2	ME13
astrocyte	45.7483349569825	9.09983685009695	ENSMUSG00000090122.3	protein_coding	KNOWN	ENSG00000176076.7	ENSG00000176076	KCNE5	ENSMUSG00000090122	81	1	ENSG00000176076|KCNE1L	ME13
astrocyte	300.592331349578	11.912875439204	ENSMUSG00000030029.10	protein_coding	KNOWN	ENSG00000144749.11	ENSG00000144749	LRIG1	ENSMUSG00000030029	83	1	ENSG00000144749|LRIG1	ME13
astrocyte	443.071026594775	10.4874290544499	ENSMUSG00000027962.10	protein_coding	KNOWN	ENSG00000162692.8	ENSG00000162692	VCAM1	ENSMUSG00000027962	76	1	ENSG00000162692|VCAM1	ME13
astrocyte	7474.76459593839	9.49668231577123	ENSMUSG00000019874.7	protein_coding	KNOWN	ENSG00000164434.9	ENSG00000164434	FABP7	ENSMUSG00000019874	87	1	ENSG00000164434|FABP7	ME15
astrocyte	90.6066278180892	8.30283080597952	ENSMUSG00000047632.10	protein_coding	KNOWN	ENSG00000174721.9	ENSG00000174721	FGFBP3	ENSMUSG00000047632	57	1	ENSG00000174721|FGFBP3	ME15
astrocyte	117.379691485283	5.1206324649708	ENSMUSG00000039835.11	protein_coding	KNOWN	ENSG00000135540.9	ENSG00000135540	NHSL1	ENSMUSG00000039835	68	1	ENSG00000135540|NHSL1	ME15
astrocyte	343.395110522857	6.089196518429	ENSMUSG00000075012.4	protein_coding	KNOWN	ENSG00000179431.6	ENSG00000179431	FJX1	ENSMUSG00000075012	90	1	ENSG00000179431|FJX1	ME2
astrocyte	72.5005314424451	8.1349216309047	ENSMUSG00000020614.9	protein_coding	KNOWN	ENSG00000108950.9	ENSG00000108950	FAM20A	ENSMUSG00000020614	86	1	ENSG00000108950|FAM20A	ME28
astrocyte	49.5727073214968	7.07948839140128	ENSMUSG00000025911.10	protein_coding	KNOWN	ENSG00000147576.13	ENSG00000147576	ADHFE1	ENSMUSG00000025911	89	1	ENSG00000147576|ADHFE1	ME3
astrocyte	39.1060728939304	5.96620297426891	ENSMUSG00000028766.6	protein_coding	KNOWN	ENSG00000162551.11	ENSG00000162551	ALPL	ENSMUSG00000028766	90	1	ENSG00000162551|ALPL	ME3
astrocyte	757.718001669172	43.5248549619369	ENSMUSG00000024411.9	protein_coding	KNOWN	ENSG00000171885.11	ENSG00000171885	AQP4	ENSMUSG00000024411	93	1	ENSG00000171885|AQP4	ME3
astrocyte	109.574881407802	5.08547679869218	ENSMUSG00000036885.10	protein_coding	KNOWN	ENSG00000114790.10	ENSG00000114790	ARHGEF26	ENSMUSG00000036885	87	1	ENSG00000114790|ARHGEF26	ME3
astrocyte	193.719122026816	22.9742983847686	ENSMUSG00000038094.11	protein_coding	KNOWN	ENSG00000127249.12	ENSG00000127249	ATP13A4	ENSMUSG00000038094	87	1	ENSG00000127249|ATP13A4	ME3
astrocyte	91.4358364273266	6.9926127661497	ENSMUSG00000022665.10	protein_coding	KNOWN	ENSG00000091986.13	ENSG00000091986	CCDC80	ENSMUSG00000022665	84	1	ENSG00000091986|CCDC80	ME3
astrocyte	216.359474145879	13.0566325839888	ENSMUSG00000007682.5	protein_coding	KNOWN	ENSG00000211448.9	ENSG00000211448	DIO2	ENSMUSG00000007682	77	1	ENSG00000211448|DIO2	ME3
astrocyte	116.100096580429	6.48925730295995	ENSMUSG00000022505.8	protein_coding	KNOWN	ENSG00000213853.7	ENSG00000213853	EMP2	ENSMUSG00000022505	74	1	ENSG00000213853|EMP2	ME3
astrocyte	152.931445654902	21.2765863552474	ENSMUSG00000015085.8	protein_coding	KNOWN	ENSG00000054179.9	ENSG00000054179	ENTPD2	ENSMUSG00000015085	83	1	ENSG00000054179|ENTPD2	ME3
astrocyte	17654.7956088965	8.58832949499109	ENSMUSG00000021250.9	protein_coding	KNOWN	ENSG00000170345.7	ENSG00000170345	FOS	ENSMUSG00000021250	94	1	ENSG00000170345|FOS	ME3
astrocyte	60.3844799968019	10.4950889018828	ENSMUSG00000025348.8	protein_coding	KNOWN	ENSG00000135424.13	ENSG00000135424	ITGA7	ENSMUSG00000025348	84	1	ENSG00000135424|ITGA7	ME3
astrocyte	156.39709069057	7.1983039145435	ENSMUSG00000046312.4	protein_coding	KNOWN	ENSG00000164976.8	ENSG00000164976	KIAA1161	ENSMUSG00000046312	92	1	ENSG00000164976|KIAA1161	ME3
astrocyte	2542.88048916322	12.0108314235631	ENSMUSG00000030605.11	protein_coding	KNOWN	ENSG00000140545.12	ENSG00000140545	MFGE8	ENSMUSG00000030605	61	1	ENSG00000140545|MFGE8	ME3
astrocyte	753.699009147777	17.5460815858471	ENSMUSG00000035805.9	protein_coding	KNOWN	ENSG00000100427.13	ENSG00000100427	MLC1	ENSMUSG00000035805	88	1	ENSG00000100427|MLC1	ME3
